na engleskom jeziku	engleski
Aeronautika - modul civilni pilot	
Aeronautika - modul kontrolor leta	
Aeronautika - modul vojni pilot	
Agrarna ekonomika	
Agroekologija	
Akvakultura	
Anglistika	
Animalne znanosti	
Animirani film i novi mediji	
Antropologija	
Applied Computer Engineering	engleski
Arheologija	
Arhitektura i urbanizam	
Bachelor Degree in Business	engleski
Bachelor Degree in Economics	engleski
Baletna pedagogija	
Bilinogojstvo	
Bilinogojstvo, smjer Ratarstvo	
Biljne znanosti	
Biologija	
Biologija i kemija	
Biologija i tehnologija mora	
Biotehnologija	
Biotehnologija i istraživanje lijekova	
Brodogradnja	
Brodostrojarstvo	
Brodostrojarstvo i tehnologija pomorskog prometa	
Češki jezik i književnost	
Cestovni promet	
Crkvena glazba	
Cyber komunikacije i znanost o mreži	
Demografija i hrvatsko iseljeništvo	
Dentalna higijena	
Dentalna medicina	
Digitalni marketing	
Dirigiranje	
Dizajn	
Dizajn i audiovizualne komunikacije	
Dizajn novih medija	
Dizajn vizualnih komunikacija	
Dizajn za kazalište, film i televiziju	
Dramaturgija	
Drvna tehnologija	
Ekoinženjerstvo	
Ekoinženjerstvo i zaštita prirode	
Ekološka poljoprivreda	
Ekonomija	
Ekonomija i management	
Ekonomija i poslovna ekonomija	
Ekonomija poduzetništva	
Ekonomika poduzetništva	
Ekonomska politika i regionalni razvitak,  Financijski menadžment, Marketing, Menadžment, Poduzetništvo, Poslovna informatika	
Elektroenergetika	
Elektroničke i informatičke tehnologije u pomorstvu	
Elektroničko poslovanje i programsko inženjerstvo	
Elektronika	
Elektrotehničke i komunikacijske tehnologije u pomorstvu	
Elektrotehnika	
Elektrotehnika i informacijska tehnologija	
Elektrotehnika i informacijska tehnologija i Računarstvo	
Energetska učinkovitost i obnovljivi izvori	
Engleski jezik i književnost	
Engleski jezik i književnost i Filozofija	
Engleski jezik i književnost i Hrvatski jezik i književnost	
Engleski jezik i književnost i Njemački jezik i književnost	
Engleski jezik i književnost i Pedagogija	
Engleski jezik i književnost i Povijest	
Enogastronomija	
Etnologija i antropologija	
Etnologija i kulturna antropologija	
Farmacija	
Film i video	
Filmska i medijska umjetnost	
Filmska i TV režija	
Filmsko, televizijsko i multimedijsko oblikovanje	
Filozofija	
Filozofija i Hrvatski jezik i književnost	
Filozofija i kultura	
Filozofija i Pedagogija	
Filozofija i Povijest	
Filozofija i religijske znanosti	
Filozofsko - teološki studij	
Filozofsko-teološki studij	
Financije i poslovno pravo	
Financije i pravo	
Financijski menadžment	
Financijski menadžment, Marketing	
Fitomedicina	
Fizika	
Fizika i informatika	
Fizika i kemija	
Fizioterapija	
Fonetika	
Forenzika	
Francuski jezik i književnost	
Geodezija i geoinformatika	
Geodezija i geomatika	
Geofizika	
Geografija	
Geografija i povijest	
Geologija	
Geološko inženjerstvo	
Germanistika	
Gitara	
Glasovir	
Glazba i mediji	
Glazbena pedagogija	
Glazbena teorija	
Glazbena umjetnost i kultura	
Gluma	
Gluma i lutkarstvo	
Gluma i mediji	
Građevinarstvo	
Graditeljstvo	
Grafička tehnologija, smjer: Dizajn grafičkih proizvoda	
Grafička tehnologija, smjer: Tehničko-tehnološki	
Grafički dizajn i vizualne komunikacije	
Grafika	
Grčki jezik i književnost	
Gudački instrumenti	
Hortikultura	
Hotelijerstvo i gastronomija	
Hotelijerstvo, restoraterstvo i gastronomija	
Hrvatski jezik i književnost	
Hrvatski jezik i književnost i Njemački jezik i književnost	
Hrvatski jezik i književnost i Pedagogija	
Hrvatski jezik i književnost i Povijest	
Hungarologija	
Indologija	
Industrijsko inženjerstvo	
Informacijska tehnologija	
Informacijske tehnologije	
Informacijske tehnologije i digitalizacija poslovanja	
Informacijske znanosti	
Informacijski i poslovni sustavi	
Informacijski sustavi i Poslovni sustavi	
Informatika	
Informatika i tehnika	
Informatologija	
Informatologija i Engleski jezik i književnost	
Informatologija i Filozofija	
Informatologija i Hrvatski jezik i književnost	
Informatologija i Njemački jezik i književnost	
Informatologija i Povijest umjetnosti	
Inspekcijski i kadrovski menadžment u pomorstvu	
Inteligentni transportni sustavi i logistika	
Internet stvari	
Inženjerstvo okoliša	
Izobrazba trenera	
Japanski jezik i kultura	
Javna uprava	
Jezična i interkulturalna medijacija	
Jezik i komunikacija u višejezičnom društvu	
Judaistika	
Južnoslavenski jezici i književnosti	
Kazališna režija i radiofonija	
Kazališno oblikovanje	
Kemija	
Kemija i inženjerstvo materijala	
Kemijska tehnologija	
Kemijsko inženjerstvo	
Kineziologija	
Kiparstvo	
Klasična harmonika	
Klavir	
Komparativna književnost	
Kompozicija	
Kompozicija s teorijom muzike	
Komunikacijski menadžment	
Komunikologija	
Komunikologija, mediji i novinarstvo	
Konstrukcijsko strojarstvo	
Konzervacija i restauracija	
Konzervacija - restauracija	
Konzerviranje i restauriranje umjetnina	
Krajobrazna arhitektura	
Kriminalistika	
Kroatistika	
Kroatologija	
Kultura i turizam	
Kultura i turizam i Talijanski jezik i kultura	
Kultura, mediji i menadžment	
Kulturologija	
Latinski jezik	
Latinski jezik i književnost	
Latinski jezik i rimska književnost	
Likovna kultura	
Likovna kultura i likovna umjetnost	
Likovna pedagogija	
Lingvistika	
Ljevarstvo	
Logistika i menadžment u pomorstvu i prometu	
Logistika i mobilnost	
Logopedija	
Lovstvo i zaštita prirode	
Mađarski jezik i književnost i Engleski jezik i književnost	
Mađarski jezik i književnost i Hrvatski jezik i književnost	
Mađarski jezik i književnost i Njemački jezik i književnost	
Mađarski jezik i književnost i Pedagogija	
Mađarski jezik i književnost i Povijest	
Management malog poduzeća	
Market Communication Design	engleski
Marketing i komunikacije	
Matematika	
Matematika i fizika	
Matematika i informatika	
Matematika i računarstvo	
Medicina	
Medicinska biokemija	
Medicinska laboratorijska dijagnostika	
Medicinsko laboratorijska dijagnostika	
Medicinsko-laboratorijska dijagnostika	
Mediji i kultura društva	
Medijski dizajn	
Mediteranska poljoprivreda	
Međunarodni menadžment u hotelijerstvu i turizmu	
Međunarodni odnosi	
Međunarodni odnosi i diplomacija	
Međunarodno poslovanje	
Mehatronika	
Mehatronika i robotika	
Menadžment	
Menadžment i marketing turističke destinacije	
Menadžment i produkcija u kulturi	
Menadžment održivog razvoja	
Menadžment poslovne sigurnosti	
Menadžment športa i športskih djelatnosti	
Menadžment trgovine i turizma	
Menadžment turizma i sporta	
Metalurgija	
Molekularna biologija	
Montaža	
Motorna vozila	
Multimedija, oblikovanje i primjena	
Multimedijsko računarstvo	
Muzikologija	
Muzikologija - dvopredmetno	
Naftno rudarstvo	
Nautika	
Nautika i tehnologija pomorskog prometa	
Nederlandistika	
Njemački jezik i književnost	
Njemački jezik i književnost i Pedagogija	
Novinarstvo	
Nutricionizam	
Oblikovanje tržišnih komunikacija	
Očna optika	
Odnosi s javnošću i studij medija	
Održavanje motornih vozila	
Održavanje računalnih sustava	
Održavanje zrakoplova	
Održivi agroturizam	
Održivi razvoj	
Održivi razvoj i međunarodni odnosi	
Operativni menadžment	
Pedagogija	
Pedagogija i Povijest	
Pjevanje	
Poduzetništvo	
Podvodne znanosti i tehnologije	
Politehnika	
Politologija	
Poljoprivreda	
Poljoprivreda krša - Biljna proizvodnja	
Poljoprivreda krša - Stočarstvo krša	
Poljoprivredna tehnika	
Poljski jezik i književnost	
Pomorska nautika	
Pomorske elektrotehničke i informatičke tehnologije	
Pomorske tehnologije jahta i marina	
Pomorski menadžment	
Porezni studij	
Portugalski jezik i književnost	
Poslovanje i menadžment	
Poslovanje i upravljanje	
Poslovna ekonomija	
Poslovna ekonomija u turizmu i ugostiteljstvu	
Poslovna informatika	
Poslovna matematika i ekonomija	
Poslovno pravo i ekonomija	
Poslovno upravljanje	
Poslovno upravljanje - Globalna logistika	
Povijest	
Povijest i geografija	
Povijest Jadrana i Mediterana	
Povijest umjetnosti	
Povijest umjetnosti i Hrvatski jezik i književnost	
Povijest umjetnosti i Mađarski jezik i književnost	
Povijest umjetnosti i Njemački jezik i književnost	
Pravo	
Predškolski odgoj	
Prehrambena tehnologija	
Primaljstvo	
Primijenjena ekologija mora	
Primijenjena ekologija u poljoprivredi	
Primijenjena ekonomija	
Primijenjena kemija	
Primijenjena umjetnost	
Primijenjeno / poslovno računarstvo	
Primijenjeno računarstvo	
Primjena informacijske tehnologije u poslovanju	
Produkcija	
Proizvodno strojarstvo	
Promet	
Prometna logistika	
Protestantska teologija	
Psihologija	
Puhački instrumenti	
Računarstvo	
Računarstvo i informatika	
Računovodstvo	
Računovodstvo i financije	
Radiološka tehnologija	
Radna terapija	
Rani i predškolski odgoj i obrazovanje	
Rehabilitacija	
Restauriranje i konzerviranje umjetnina	
Rudarstvo	
Rumunjski jezik i književnost	
Ruski jezik i književnost	
Sanitarno inženjerstvo	
Service Management	
Sestrinstvo	
Sigurnost	
Sigurnost i zaštita	
Sigurnost na radu	
Sigurnost, zdravlje na radu i radni okoliš	
Slikarstvo	
Slovački jezik i književnost	
Snimanje	
Socijalna pedagogija	
Socijalni rad	
Sociologija	
Sociologija i Engleski jezik i književnost	
Sociologija i Filozofija	
Sociologija i Hrvatski jezik i književnost	
Sociologija i Pedagogija	
Sociologija i Povijest	
Solo pjevanje	
Španjolski jezik i književnost	
Sportski menadžment	
Strojarstvo	
Studij za instrumentaliste	
Studij za marketing i komunikacije	
Šumarstvo	
Suvremeni ples	
Švedski jezik i kultura	
Talijanistika	
Talijanski jezik	
Talijanski jezik i književnost	
Tehnička i gospodarska logistika	
Tehnički menadžment	
Tehnologija i organizacija prometa	
Tekstilna odjevna i obućarska tehnologija	
Tekstilna, odjevna i obućarska tehnologija	
Tekstilna tehnologija i inženjerstvo, smjer: Industrijski dizajn tekstila i odjeće	
Tekstilna tehnologija i inženjerstvo, smjerovi: Odjevno inženjerstvo, Projektiranje i menadžment tekstila, Tekstilna kemija, materijali i ekologija	
Tekstilni i modni dizajn	
Telematika	
Teologija	
Teološko - katehetski studij	
Teološko-katehetski studij	
Teološko - religijske znanosti	
Teološko - religijske znanosti i Povijest	
Teološko - religijske znanosti i Sociologija	
Teorija glazbe	
Transmedijska dramaturgija	
Trgovina	
Trgovinsko poslovanje s poduzetništvom	
Turistički i hotelski menadžment	
Turistički menadžment	
Turističko poslovanje	
Turizam	
Turkologija	
Učiteljski studij	
Ugostiteljstvo	
Ukrajinski jezik i književnost	
Upravljanje opskrbnim lancima	
Upravljanje u gastronomiji i restoraterstvu	
Upravljanje u kriznim uvjetima	
Upravni studij	
Urbano šumarstvo, zaštita prirode i okoliša	
Veterinarska medicina	
Vinarstvo	
Vinogradarstvo-vinarstvo-voćarstvo	
Vojno inženjerstvo	
Vojno pomorstvo MMPI	
Vojno pomorstvo MORH	
Vojno pomorstvo MPPI	
Vojno pomorstvo MUP	
Vojno vođenje i upravljanje	
Zaštita i oporaba materijala	
Zaštita okoliša, recikliranje i ambalaža	
Željeznički promet	
Žičani instrumenti	
Znanosti o okolišu	
Znanost o moru	
Zootehnika	
Zrakoplovno inženjerstvo	
Zrakoplovno inženjerstvo i svemirska tehnika	
Zrakoplovstvo	
